ID,CATEGORY,CLUE,ANSWER
480,"JAMAICA, JORDAN OR JAPAN",It was once populated by a people known as the Nabataeans,Jordan
481,THE WINTER PALACE,"The storming of the Winter Palace in 1917 was immortalized in Eisenstein's <a href=""http://www.j-archive.com/media/2005-12-27_DJ_26.mp4"">film</a> ""October"", or ""Ten Days that"" did this",<i>Shook the World</i>
482,MACHINES NEVER BUILT,This Reagan administration plan included anti-missile lasers & particle beams,Star Wars
483,FISHY ANAGRAMS,You could call it a seashore equine,seahorse (seashore)
484,"""H.D.""","3,300 feet up in the Mojave, Yucca Valley, California is in this type of area & has a nature museum named for it",a high desert
485,ABBREVIATIONS,Scholars commonly refer to this reference work as the OED,the <i>Oxford English Dictionary</i>
486,NICE BUNNIES,"An as-yet-nameless prototype of this character appeared in the 1938 cartoon ""Porky's Hare Hunt""",Bugs Bunny
487,BASEBALL LIT,Roger Angell's classic baseball articles include a profile of this Hall of Fame Cardinals pitcher of the '60s,Bob Gibson
488,KABUL STONES,The workers of the Kabul Museum risked their lives to save stone figures from destruction by this group in 2001,the Taliban
489,ARTISTS,"This Impressionist's ""Luncheon on the Grass"", showing a nude woman picnicking w/2 men, shocked 1863 Paris",Édouard Manet
490,"MIND YOUR ""P""s & ""Q""s","Soft wet miry land, like Vietnam, or a predicament, like Vietnam in the '70s",a quagmire
491,PEOPLE,"He was a pilot for Pan Am & an L.A. policeman before he created ""Star Trek""",Gene Roddenberry
492,WOODWINDS,"A famous 1791 opera featured a ""Magic"" one",a flute
493,CHRISTMAS SONGS,"From ""choraules"", the flute player who accompanied choral dances, comes this word for a hymn of joy",a carol
494,LEFTOVERS,Brit Nick Faldo has made his name as one of these,a golfer
495,ART & ARTISTS,"Before returning to France in 1923, he designed sets for the Kamerny State Jewish Theater",Marc Chagall
496,"RATED ""EX""","French for ""chessboard"", it's the British version of our treasury",the exchequer
497,A LIGHT CATEGORY,The perpetual light in one of these houses of worship is kept burning over the ark,a synagogue
498,HUNGARY?,"Meaning ""famous ruler"", it's the first name of cinematographer Kovacs & painter Moholy-Nagy",Laszlo
499,MOVIES' ALTERNATE ENDINGS,The original script for this Jamie Foxx film set in Saudi Arabia had his FBI team getting blown up,<i>The Kingdom</i>
